AirportId,IATA,ICAO,Latitude,Longitude
564,NHT,EGWU,51.553,-0.418167
565,QCY,EGXC,53.093014,-0.166014
566,,EGXD,54.137186,-1.420253
567,,EGXE,54.292383,-1.5354
568,,EGXG,53.834333,-1.1955
569,BEQ,EGXH,52.342611,0.772939
570,,EGXJ,52.735711,-0.648769
571,,EGXP,53.307778,-0.550833
572,,EGXT,52.612558,-0.476453
573,,EGXU,54.048911,-1.252747
574,WTN,EGXW,53.166167,-0.523811
575,,EGXZ,54.205522,-1.382094
576,,EGYD,53.03035,-0.483242
577,,EGYE,52.962225,-0.561625
578,KNF,EGYM,52.648353,0.550692
579,MPN,EGYP,-51.822777,-58.447222
580,AMS,EHAM,52.308613,4.763889
581,,EHBD,51.25528,5.601389
582,MST,EHBK,50.911658,5.770144
583,,EHDL,52.060556,5.873056
584,,EHDR,53.119167,6.129722
585,EIN,EHEH,51.450139,5.374528
586,GRQ,EHGG,53.11972,6.579444
587,,EHGR,51.567389,4.931833
588,DHR,EHKD,52.923353,4.780625
589,,EHLE,52.460278,5.527222
590,LWR,EHLW,53.228611,5.760556
591,RTM,EHRD,51.956944,4.437222
592,UTC,EHSB,52.1273,5.27619
593,ENS,EHTW,52.27,6.874167
594,LID,EHVB,52.166139,4.417944
595,WOE,EHWO,51.449092,4.342031
596,ORK,EICK,51.841269,-8.491111
597,GWY,EICM,53.300175,-8.941592
599,DUB,EIDW,53.421333,-6.270075
600,NOC,EIKN,53.910297,-8.818492
601,KIR,EIKY,52.180878,-9.523783
602,,EIME,53.301667,-6.451333
603,SNN,EINN,52.701978,-8.924817
604,SXL,EISG,54.280214,-8.599206
605,WAT,EIWF,52.1872,-7.086964
607,AAR,EKAH,56.300017,10.619008
608,BLL,EKBI,55.740322,9.151778
609,CPH,EKCH,55.617917,12.655972
610,EBJ,EKEB,55.525942,8.553403
611,,EKGH,55.941387,12.382222
612,KRP,EKKA,56.297458,9.124628
613,,EKLS,57.277228,11.000083
614,,EKMB,54.699344,11.440117
615,ODE,EKOD,55.476664,10.330933
616,,EKPB,54.870306,9.279014
617,RKE,EKRK,55.585567,12.131428
618,RNN,EKRN,55.063267,14.759558
619,SGD,EKSB,54.964367,9.791731
621,SKS,EKSP,55.225553,9.263931
622,,EKSV,56.550208,9.172983
623,TED,EKTS,57.0688,8.705225
624,,EKVD,55.436283,9.330925
625,FAE,EKVG,62.063628,-7.277219
626,,EKVH,56.846944,9.458611
627,STA,EKVJ,55.990122,8.353906
628,AAL,EKYT,57.092789,9.849164
629,LUX,ELLX,49.626575,6.211517
630,AES,ENAL,62.560372,6.110164
631,ANX,ENAN,69.2925,16.144167
632,ALF,ENAT,69.976111,23.371667
633,,ENBM,60.63885,6.501497
634,BNN,ENBN,65.461111,12.2175
635,BOO,ENBO,67.269167,14.365278
636,BGO,ENBR,60.293386,5.218142
637,BJF,ENBS,70.600278,29.6925
638,KRS,ENCN,58.204214,8.085369
639,,ENDI,60.416667,8.512778
640,BDU,ENDU,69.055758,18.540356
641,EVE,ENEV,68.4913,16.678108
642,VDB,ENFG,61.015556,9.288056
643,FRO,ENFL,61.583611,5.024722
644,OSL,ENGM,60.193917,11.100361
645,HAU,ENHD,59.345267,5.208364
646,HAA,ENHK,70.486675,22.139744
647,KSU,ENKB,63.111781,7.824522
648,,ENKJ,59.969336,11.036089
649,KKN,ENKR,69.725781,29.891295
650,FAN,ENLI,58.099486,6.62605
651,MOL,ENML,62.744722,7.2625
652,MJF,ENMS,65.783997,13.214914
653,LKL,ENNA,70.068814,24.973489
654,NTB,ENNO,59.565683,9.212222
655,OLA,ENOL,63.698908,9.604003
656,RRS,ENRO,62.578411,11.342347
657,RYG,ENRY,59.378933,10.785389
658,LYR,ENSB,78.246111,15.465556
659,SKE,ENSN,59.185,9.566944
660,SRP,ENSO,59.791925,5.34085
662,SSJ,ENST,65.956828,12.468944
663,TOS,ENTC,69.683333,18.918919
664,TRF,ENTO,59.186703,10.258628
665,TRD,ENVA,63.457556,10.92425
666,SVG,ENZV,58.876778,5.637856
667,,EPBC,52.268494,20.911047
668,GDN,EPGD,54.377569,18.466222
669,KRK,EPKK,50.077731,19.784836
670,,EPKM,50.238147,19.034181
671,KTW,EPKT,50.474253,19.080019
673,,EPML,50.322275,21.462131
674,POZ,EPPO,52.421031,16.826325
675,RZE,EPRZ,50.109958,22.019
676,SZZ,EPSC,53.584731,14.902206
